,Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
51,sprite,1,6,carbonated water,12 fl oz,130 ,70 ,39 ,0 ,0 ,,0,usa,3.7
52,frozen natto,2,28,fermented soy beans,154 g,290 ,800 ,22 ,14 ,23 ,"fish, weat, soybeans",0,japan,4.7
53,chobani yogurt,2,10,cultured reduced fat milk,150 g,120 ,55 ,10 ,3 ,12 ,milk,0,usa,3.9
54,beans,4,3,organic prepared dark red kidney beans,1/2 cup,110 ,85 ,20 ,0 ,7 ,,0,usa,2.1
55,popping candy,3,8,sugar,1.5 g, 5 Cal, 0 mg,1 ,0 ,0,milk,0,china,4.0
56,japanese barbecue sauce,2,11,soy sauce,19 g,35,520 ,8 ,0 ,0 ,"wheat, soy, sesame",0,u.s.a.,3.0
57,bagel bites,2,35,wheat flour,88 g,190 ,410 ,27 ,6 ,7 ,"wheat, milk",1,u.s.a.,5.0
58,dried spaghetti,4,1,organic durum wheat semolina,56 Gg,210 ,0 ,43 ,1 ,6 ,,0,italy,2.0
59,stella rosa wine,1,6,wine,150 mL,100,0 ,14 ,0 ,0 ,sulfites,0,italy,4.0
60,sea salt roasted seaweed,3,3,seaweed*,5g,30 ,40 ,1 ,2,1,n/a - not specified on the nutrition facts,0,u.s.a.,1.0
61,san pellegrino sparkling natural mineral water,1,1,carbonated mineral water,8 fl oz,0 ,10 ,0 ,0 ,0 ,n/a - not specified on the nutrition facts,0,italy,1.0
62,tillamook vanilla bean ice cream,2,10,cream,95 g,210 ,55 ,22 ,13 ,4 ,"eggs, milk",0,u.s.a.,4.0
63,kirkland shredded mexican-style blend cheese,2,21,monterey jack cheese,28 g,110 ,170 ,1 ,8 ,6 ,milk,0,u.s.a.,5.0
64,fire roasted diced tomatoes,4,7,organic fire roasted tomatoes,120 g,25 ,190 ,5 ,0 ,<1 g,n/a - not specified on the nutrition facts,0,u.s.a.,2.0
65,sriracha sauce,2,9,chili,1 tsp (5g),0,70 ,less than 1g,0,0,,0,usa,
66,gelato,2,16,milk,131g,290,65,37,14,5,"milk, cream, milk fat",0,usa,3.0
67,chi sparkling water,1,9,carbonated water,330mL,0,15,5,0,0,none,0,china,3.0
68,canned corn,4,3,corn,125g,60,320,13,1,1,none,0,usa,2.0
69,wasabi beans,3,18,green peas,30g,130,200,19,4,5,wheat,0,japan,4.0
70,key lime la croix sparkling water,1,2,carbonated water,355 mL,0 ,0 ,0 ,0 ,0 ,none,0,doesn't say,1.0
71,maple pecans glazed mix,3,11,pecans,42.5 g,230 ,180 ,22 ,15 ,3 ,"pecan, walnut",0,usa,2.0
72,canned wild pink salmon,4,2,wild pink salmon,85 g,90 ,200 ,0 ,2 ,18 ,fish,0,north pacific,2.0
73,oven roasted turkey breast,2,6,organic turkey breast,55 g,50 ,380 ,1 ,0 ,11 ,none,0,likely usa,3.0
74,taiwanese beef noodle soup (frozen),2,16,beef shank,319 g,360,1820 ,33 ,4 ,43 ,"wheat, soy",does not say,usa,5.0
75,halo top cookie dough ice cream,2,26,ultrafiltered skim milk,2/3 cup,12,105 ,25 ,3 ,6 ,"milk, soy, wheat",1,,2.5
76,clover unsalted stick butter,2,3,pasteurized cream,1 tbsp,100 ,0 ,0 ,11 ,0 ,milk,0,u.s.a.,1.5
77,kettle brand sea salt and vinegar chips,3,5,potatoes,1 oz,140 ,180 ,15 ,9 ,2 ,none,0,u.s.a.,2.0
78,simply raspberry lemonade,1,5,pure filtered water,8 fl oz,110 ,15 ,28 ,0 ,0 ,none,0,u.s.a.,1.0
79,freeze dried strawberries,4,1,freeze dried strawberries,1 bag,130 ,5 ,29 ,.5 g,2 ,none,0,u.s.a.,1.5
80,mustard,2,6,water,5 g,0 ,55 ,0 ,0 ,0 ,none,1,u.s.a.,3.0
81,vanilla ice cream,2,11,milk,89 g,200 ,40 ,21 ,12 ,3 ,"milk, soy",0,u.s.a.,2.0
82,cheese crackers,3,18,flour,28 g,140 ,260 ,17 ,7 ,3 ,"milk, wheat, soy",0,u.s.a.,4.0
83,la croix (fizzy water),1,1,water,354.88 g,0 ,0 ,0 ,0 ,0 ,none,0,u.s.a.,2.0
84,canned tomatoes/herbs,4,9,tomatoes,127 g,25 ,220 ,6 ,0 ,1,none,0,u.s.a.,2.0
